Run at 2025-07-01T19:44:14.603718+00:00 UTC
PennyLane version: 0.41.1
Random seed: 123
Hamiltonian loaded: 14 qubits, 129 terms
UCCSD setup: electrons=8, params=204
Step 000 | lr=0.0500 | E=-855.73528321
Step 001 | lr=0.0500 | E=-856.07646000
Step 002 | lr=0.0500 | E=-856.51132557
Step 003 | lr=0.0500 | E=-856.96508777
Step 004 | lr=0.0500 | E=-857.35643947
Step 005 | lr=0.0500 | E=-857.63270128
Step 006 | lr=0.0500 | E=-857.83272613
Step 007 | lr=0.0500 | E=-858.01592895
Step 008 | lr=0.0500 | E=-858.21519220
Step 009 | lr=0.0500 | E=-858.44338160
Step 010 | lr=0.0500 | E=-858.70145496
Step 011 | lr=0.0500 | E=-858.97948882
Step 012 | lr=0.0500 | E=-859.25888573
Step 013 | lr=0.0500 | E=-859.51831358
Step 014 | lr=0.0500 | E=-859.74460024
Step 015 | lr=0.0500 | E=-859.93794265
Step 016 | lr=0.0500 | E=-860.10903976
Step 017 | lr=0.0500 | E=-860.27315655
Step 018 | lr=0.0500 | E=-860.43944101
Step 019 | lr=0.0500 | E=-860.61114015
Step 020 | lr=0.0500 | E=-860.78951734
Step 021 | lr=0.0500 | E=-860.97235408
Step 022 | lr=0.0500 | E=-861.15618889
Step 023 | lr=0.0500 | E=-861.33964408
Step 024 | lr=0.0500 | E=-861.52287926
Step 025 | lr=0.0500 | E=-861.70804952
Step 026 | lr=0.0500 | E=-861.90048661
Step 027 | lr=0.0500 | E=-862.10713710
Step 028 | lr=0.0500 | E=-862.33179334
Step 029 | lr=0.0500 | E=-862.57272627
Step 030 | lr=0.0500 | E=-862.82255782
Step 031 | lr=0.0500 | E=-863.07070784
Step 032 | lr=0.0500 | E=-863.30479204
Step 033 | lr=0.0500 | E=-863.51404239
Step 034 | lr=0.0500 | E=-863.69215040
Step 035 | lr=0.0500 | E=-863.83691791
Step 036 | lr=0.0500 | E=-863.95108505
Step 037 | lr=0.0500 | E=-864.04083720
Step 038 | lr=0.0500 | E=-864.11262756
Step 039 | lr=0.0500 | E=-864.17203325
Step 040 | lr=0.0500 | E=-864.22223339
Step 041 | lr=0.0500 | E=-864.26582665
Step 042 | lr=0.0500 | E=-864.30623117
Step 043 | lr=0.0500 | E=-864.34607625
Step 044 | lr=0.0500 | E=-864.38647787
Step 045 | lr=0.0500 | E=-864.42759255
Step 046 | lr=0.0500 | E=-864.46903759
Step 047 | lr=0.0500 | E=-864.50974495
Step 048 | lr=0.0500 | E=-864.54784800
Step 049 | lr=0.0500 | E=-864.58102512
Step 050 | lr=0.0500 | E=-864.60670669
Step 051 | lr=0.0500 | E=-864.62345546
Step 052 | lr=0.0500 | E=-864.63149786
Step 053 | lr=0.0500 | E=-864.63300097
Step 054 | lr=0.0500 | E=-864.63146531
Step 055 | lr=0.0500 | E=-864.63052635
Step 056 | lr=0.0500 | E=-864.63254216
Step 057 | lr=0.0500 | E=-864.63802202
Step 058 | lr=0.0500 | E=-864.64560095
Step 059 | lr=0.0500 | E=-864.65319254
Step 060 | lr=0.0500 | E=-864.65937018
Step 061 | lr=0.0500 | E=-864.66373082
Step 062 | lr=0.0500 | E=-864.66658354
Step 063 | lr=0.0500 | E=-864.66850305
Step 064 | lr=0.0500 | E=-864.67003476
Step 065 | lr=0.0500 | E=-864.67159549
Step 066 | lr=0.0500 | E=-864.67343813
Step 067 | lr=0.0500 | E=-864.67565507
Step 068 | lr=0.0500 | E=-864.67793507
Step 069 | lr=0.0500 | E=-864.67967584
Step 070 | lr=0.0500 | E=-864.68043157
Step 071 | lr=0.0500 | E=-864.68021658
Step 072 | lr=0.0500 | E=-864.67952197
Step 073 | lr=0.0500 | E=-864.67895131
Step 074 | lr=0.0500 | E=-864.67888909
Step 075 | lr=0.0500 | E=-864.67940132
Reduced lr to 0.0250 after 5 non-improving steps
Step 076 | lr=0.0250 | E=-864.68001414
Step 077 | lr=0.0250 | E=-864.68084544
Step 078 | lr=0.0250 | E=-864.68188016
Step 079 | lr=0.0250 | E=-864.68287722
Step 080 | lr=0.0250 | E=-864.68381904
Step 081 | lr=0.0250 | E=-864.68454313
Step 082 | lr=0.0250 | E=-864.68508391
Step 083 | lr=0.0250 | E=-864.68537686
Step 084 | lr=0.0250 | E=-864.68550126
Step 085 | lr=0.0250 | E=-864.68547183
Step 086 | lr=0.0250 | E=-864.68538753
Step 087 | lr=0.0250 | E=-864.68528999
Step 088 | lr=0.0250 | E=-864.68524979
Step 089 | lr=0.0250 | E=-864.68527439
Reduced lr to 0.0125 after 5 non-improving steps
Step 090 | lr=0.0125 | E=-864.68533639
Step 091 | lr=0.0125 | E=-864.68544009
Step 092 | lr=0.0125 | E=-864.68556816
Step 093 | lr=0.0125 | E=-864.68571837
Step 094 | lr=0.0125 | E=-864.68587241
Step 095 | lr=0.0125 | E=-864.68601918
Step 096 | lr=0.0125 | E=-864.68615854
